"Years","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020"
"                West Virginia (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,"784","824","841","755","736","798","754","813","738","753","796","811",,
"                Wisconsin (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,"7312","7357","7410","6983","6836","6901","6956","7328","7386","7456","7749","7451",,
"                Wyoming (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,"102","77","71","105","89","98","125","116","119","125","112","119",,
"        Asian or Pacific Islander (People)","74355","84553","93193","95713","98926","104606","107797","116560","129035","133075","141635","145372","150250","152800","157632","160287","165776","169769","172652","180776","200543","200279","210907","221203","229123","231108","241045","254488","253185","251089","246886","253915","272802","265673","282723","281264","302283","297624","281302","280702",
"            By State",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"                Alabama (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,"942","922","989","977","1016","1074","973","1227","1193","1279","1167","1146",,
"                Alaska (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,"860","951","950","1054","1040","1131","1053","1106","1114","1139","1143","1066",,
"                Arizona (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,"3482","3474","3442","3341","3553","3667","3514","3519","3518","3714","3647","3629",,
"                Arkansas (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,"709","683","669","636","755","911","1094","1202","1234","1380","1466","1426",,
"                California (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,"74305","73058","71477","68925","70419","77919","76424","84224","80269","84062","82530","78994",,
"                Colorado (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,"2511","2454","2544","2575","2546","2877","2863","3010","2973","3377","3364","3210",,
"                Connecticut (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,"2422","2330","2232","2376","2289","2347","2221","2280","2497","2867","2744","2398",,
"                Delaware (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,"530","534","517","523","553","592","541","644","675","698","727","680",,
"                District of Columbia (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,"219","231","403","513","554","554","493","482","499","546","536","553",,
"                Florida (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,"8201","7804","7429","7063","7286","7487","7265","7402","7603","8627","8574","7989",,
"                Georgia (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,"5941","5985","5992","5782","6198","6227","5917","6519","6468","6878","6975","6563",,
"                Hawaii (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,"12971","12917","12602","12439","12247","12517","12203","11535","11443","11217","11071","10679",,
"                Idaho (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,"422","445","421","444","440","463","491","501","516","501","508","512",,
"                Illinois (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,"9644","9861","9611","9653","9727","10080","9848","10174","10222","10749","10309","9960",,
"                Indiana (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,"1705","1848","1997","1960","2025","2239","2364","2322","2523","2689","2776","2615",,
"                Iowa (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,"1047","989","1060","1118","1208","1311","1353","1408","1364","1477","1576","1437",,
"                Kansas (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,"1385","1367","1367","1330","1342","1401","1401","1359","1483","1521","1514","1431",,
"                Kentucky (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,"1038","1013","1075","1041","1185","1232","1191","1275","1315","1392","1406","1351",,
"                Louisiana (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,"1165","1156","1263","1287","1340","1532","1448","1537","1498","1592","1450","1510",,
"                Maine (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,"223","239","236","226","211","243","253","248","186","210","232","213",,
"                Maryland (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,"5025","5049","5387","5588","5716","5723","5415","5797","5849","6170","6247","5624",,
"                Massachusetts (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,"5943","6053","6035","5956","6278","6656","6460","6599","6713","6988","6687","6633",,
"                Michigan (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,"4481","4204","4091","3864","3991","4140","4136","4284","4294","4671","4839","4650",,
"                Minnesota (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,"5226","5536","5313","5132","5115","5460","5381","5669","5659","5844","5748","5570",,
"                Mississippi (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,"477","472","504","452","427","463","504","583","559","559","569","492",,
"                Missouri (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,"1972","2118","2028","1969","2006","2131","2075","2186","2129","2351","2238","2204",,
"                Montana (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,"144","153","135","139","143","158","132","169","152","187","182","171",,
"                Nebraska (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,"785","709","822","753","723","839","854","1048","987","1107","1062","1030",,
"                Nevada (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,"3459","3278","3144","2954","2981","3105","3097","3145","3337","3531","3617","3469",,
"                New Hampshire (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,"547","552","577","532","521","490","485","528","527","540","519","514",,
"                New Jersey (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,"11756","12091","11667","11714","11852","12253","11511","11977","12192","13656","13418","12257",,
"                New Mexico (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,"524","540","498","542","525","568","597","578","517","524","518","500",,
"                New York (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,"24054","23198","23274","23308","24794","26937","25394","26786","26556","30159","28798","25574",,
"                North Carolina (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,"3987","4052","4107","4412","5165","5521","5331","5730","5861","6180","6289","5884",,
"                North Dakota (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,"137","129","159","175","172","208","263","314","344","380","379","339",,
"                Ohio (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,"3680","3748","3543","3593","3509","3891","3915","4232","4367","4827","4884","4773",,
"                Oklahoma (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,"1254","1241","1364","1311","1474","1583","1583","1734","1762","1829","1790","1697",,
"                Oregon (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,"2684","2766","2731","2744","2687","2749","2696","2811","2895","3095","3115","2965",,
"                Pennsylvania (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,"6286","6220","6422","6276","6289","6909","6721","7067","6961","7512","7474","7131",,
"                Rhode Island (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,"531","574","662","556","597","625","598","594","639","726","703","630",,
"                South Carolina (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,"1175","1328","1235","1199","1206","1271","1235","1293","1289","1397","1400","1457",,
"                South Dakota (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,"149","158","153","152","230","219","279","271","322","295","276","264",,
"                Tennessee (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,"2179","1870","2107","1845","1933","2112","2097","2180","2153","2312","2319","2249",,
"                Texas (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,"16144","16703","16956","16818","17289","19073","18861","20844","21775","24066","23679","21857",,
"                Utah (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,"1748","1824","1636","1634","1683","1846","1785","1850","1875","2028","2091","1992",,
"                Vermont (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,"91","114","111","110","158","164","153","163","175","178","175","164",,
"                Virginia (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,"7871","7556","7784","7644","7645","8128","7835","8356","8535","9498","9272","8703",,
"                Washington (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,"9294","9404","9150","9082","9444","10140","9820","10306","10611","11975","12022","11496",,
"                West Virginia (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,"181","183","146","189","185","185","229","214","225","221","248","209",,
"                Wisconsin (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,"2895","3006","2970","2892","3141","3338","3197","3333","3276","3432","3236","3336",,
"                Wyoming (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,"87","95","102","88","102","113","124","108","135","130","115","106",,
"        American Indian or Alaska Native (People)","29389","29688","32436","32881","33256","34037","34169","35322","37088","39478","39051","38841","39453","38732","37740","37278","37880","38572","40272","40170","41668","41872","42368","43052","43927","44813","47721","49443","49537","48665","46760","46419","46093","45991","44928","44299","43555","41916","42145","41750",
"            By State",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"                Alabama (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,"189","195","217","205","197","212","209","200","190","161","181","206",,
"                Alaska (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,"2791","2899","2960","2899","2842","2810","2462","2450","2415","2503","2314","2267",,
"                Arizona (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,"6666","6542","6269","5999","5989","5857","5746","5473","5316","5310","5027","4868",,
"                Arkansas (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,"250","265","214","285","280","312","291","301","353","302","331","294",,
"                California (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,"3627","3731","3669","3652","3461","3462","3590","3509","3510","3436","3285","3280",,
"                Colorado (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,"758","726","771","714","675","759","793","777","803","830","852","866",,
"                Connecticut (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,"235","224","275","281","255","245","307","308","97","162","196","235",,
"                Delaware (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,"16","17","22","15","23","24","25","26","16","23","38","24",,
"                District of Columbia (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"28","18","20","29","49","16","16","23","19","27",,
"                Florida (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,"801","758","644","379","435","404","392","406","373","354","428","511",,
"                Georgia (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,"410","297","360","335","336","265","325","292","298","261","239","211",,
"                Hawaii (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,"79","90","105","71","80","82","68","30","35","39","46","47",,
"                Idaho (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,"452","465","458","466","414","482","421","429","406","426","406","354",,
"                Illinois (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,"281","284","269","258","218","225","234","227","205","209","211","215",,
"                Indiana (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,"119","137","130","127","157","153","127","125","120","134","121","134",,
"                Iowa (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,"319","272","256","274","266","274","269","284","242","233","276","274",,
"                Kansas (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,"376","413","375","359","380","328","293","347","330","281","288","287",,
"                Kentucky (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,"112","95","82","102","86","77","82","76","88","95","81","99",,
"                Louisiana (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,"484","487","452","490","381","351","442","373","392","395","353","380",,
"                Maine (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,"125","125","125","112","111","129","118","158","143","136","128","129",,
"                Maryland (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,"152","164","201","200","205","212","300","260","279","244","229","324",,
"                Massachusetts (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,"186","214","173","143","165","161","157","151","141","160","136","133",,
"                Michigan (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,"756","779","824","845","793","751","714","784","786","711","661","657",,
"                Minnesota (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,"1769","1688","1755","1583","1540","1436","1458","1428","1415","1386","1340","1284",,
"                Mississippi (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,"309","292","339","269","282","246","292","223","259","232","230","250",,
"                Missouri (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,"433","421","375","407","395","400","402","423","359","368","405","416",,
"                Montana (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,"1602","1591","1537","1430","1486","1470","1531","1585","1560","1537","1405","1316",,
"                Nebraska (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,"623","605","598","553","514","513","592","553","557","526","536","573",,
"                Nevada (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,"572","563","515","438","468","443","425","475","510","450","471","472",,
"                New Hampshire (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,"54","23","23","23","22","28","25","21","26","13","24","16",,
"                New Jersey (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,"189","153","178","236","182","182","196","193","172","177","165","221",,
"                New Mexico (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,"3923","4018","3999","3679","3617","3638","3763","3581","3452","3206","3020","2903",,
"                New York (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,"637","772","756","796","1182","1080","790","757","738","734","670","854",,
"                North Carolina (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,"1772","1784","1828","1821","1982","1931","1939","2025","1964","1886","1902","1975",,
"                North Dakota (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,"1028","1043","1035","967","1036","1043","1021","1032","985","1029","969","976",,
"                Ohio (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,"325","325","288","285","273","297","320","301","253","271","270","253",,
"                Oklahoma (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,"6495","6509","6391","6341","6187","6076","6075","6051","5924","6149","5832","5708",,
"                Oregon (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,"951","1033","919","895","873","886","909","778","813","806","810","768",,
"                Pennsylvania (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,"424","453","413","415","383","385","423","368","391","334","342","446",,
"                Rhode Island (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,"158","158","178","164","148","149","128","130","138","111","106","118",,
"                South Carolina (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,"276","272","206","208","241","227","201","193","217","220","212","201",,
"                South Dakota (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,"2163","2096","2018","1937","2094","2084","2100","2055","2166","2001","2027","1905",,
"                Tennessee (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,"397","438","319","218","234","198","231","240","211","149","160","255",,
"                Texas (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,"1086","1209","1175","1181","1107","1232","1229","1168","1270","1272","1120","1221",,
"                Utah (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,"765","746","764","723","770","784","792","713","699","624","610","605",,
"                Vermont (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,"14","11","17","18","17","21","11","16","25","22","20","19",,
"                Virginia (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,"174","183","179","172","121","222","249","255","254","214","221","269",,
"                Washington (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,"2505","2363","2407","2217","2234","2162","2140","2059","2036","2164","1946","2048",,
"                West Virginia (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,"24","22","20","21","19","22","19","29","28","27","27","22",,
"                Wisconsin (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,"1256","1249","1258","1238","975","1002","1011","980","1029","945","959","956",,
"                Wyoming (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,"333","334","296","296","268","332","305","294","294","274","271","273",,
"    By ethnicity",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"        Hispanic (People)",,,,,,,,,,"532249","595073","623085","643271","654418","665026","679768","701339","709767","734661","764339","815868","851851","876642","912329","946349","985505","1039077","1062779","1041239","999548","945180","918129","907677","901033","914065","924048","918447","898764","886210","886467",
"        Non-Hispanic (People)",,,,,,,,,,"3297493","3457417","3434464","3365862","3295345","3245115","3160495","3133484","3115174","3158975","3147580","3199994","3149572","3119944","3149034","3133125","3123005","3196082","3222460","3173629","3101330","3026614","3008200","3014314","3003556","3043519","3021999","2991136","2924228","2871661","2825286",
